order,Unique_ID,TA_Run,Sample_ID,Date,T0_Tf,Treatment,Meso_Treatment,OAE_Treatment,blank_coral,Frag_ID,Colony,Chamber,PAR,Time_Measure,mV,TempInSample,Salinity,TrisCalDate,Time_In,Time_Out,Volume_mL,Notes
1,1,1,Cntrl_SW_T0_6_2_24,6/2/24,T0,Cntrl_SW,SW,Cntrl,NA,NA,NA,NA,,12:22,-94.3,25,36.4,20240602,NA,NA,NA,
2,11,2,Cntrl_Alg_T0_6_2_24,6/2/24,T0,Cntrl_Alg,Alg,Cntrl,NA,NA,NA,NA,,12:27,-100.9,25.2,36.4,20240602,NA,NA,NA,
3,15,3,Cntrl_Cor_T0_6_2_24,6/2/24,T0,Cntrl_Cor,Cor,Cntrl,NA,NA,NA,NA,,12:29,-94.6,25.1,36.4,20240602,NA,NA,NA,power shut off before this run
4,56,9,CaO_SW_T0_6_2_24,6/2/24,T0,CaO_SW,SW,CaO,NA,NA,NA,NA,,12:31,-117.5,25.1,36.4,20240602,NA,NA,NA,
5,39,7,CaO_Alg_T0_6_2_24,6/2/24,T0,CaO_Alg,Alg,CaO,NA,NA,NA,NA,,12:33,-121.8,25.3,36.4,20240602,NA,NA,NA,
6,47,8,CaO_Cor_T0_6_2_24,6/2/24,T0,CaO_Cor,Cor,CaO,NA,NA,NA,NA,,12:35,-113.2,25.1,36.4,20240602,NA,NA,NA,
7,12,2,Cntrl_SW_1_a_6_2_24,6/2/24,Tf,Cntrl_SW,SW,Cntrl,coral,1_a,1,1,414,2:22,-98.9,27.066,36.4,20240602,12:04,14:20,167,"power shut off right at the end of this sample, looks okay"
8,16,3,Cntrl_SW_blank_a_6_2_24,6/2/24,Tf,Cntrl_SW,SW,Cntrl,blank,blank_a,blank,7,407,2:24,-93.2,27.229,36.4,20240602,12:00,14:25,167,
9,2,1,Cntrl_SW_2_e_6_2_24,6/2/24,Tf,Cntrl_SW,SW,Cntrl,coral,2_e,2,13,369,2:25,-103.4,27.053,36.4,20240602,12:08,14:24,171,
10,10,2,Cntrl_Alg_1_b_6_2_24,6/2/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,1_b,1,2,478,2:27,-98.6,26.856,36.4,20240602,12:04,14:26,163,
11,3,1,Cntrl_Alg_blank_b_6_2_24,6/2/24,Tf,Cntrl_Alg,Alg,Cntrl,blank,blank_b,blank,8,467,2:28,-98.6,27.237,36.4,20240602,12:00,14:25,189,
12,13,3,Cntrl_Alg_2_f_6_2_24,6/2/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,2_f,2,14,439,2:30,-105.7,27.051,36.4,20240602,12:08,14:29,166,
13,8,1,Cntrl_Cor_2_a_6_2_24,6/2/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,2_a,2,3,526,2:32,-102.3,26.639,36.4,20240602,12:08,14:31,168,
14,6,1,Cntrl_Cor_1_c_6_2_24,6/2/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,1_c,1,9,508,2:34,-94.2,27.021,36.4,20240602,12:04,14:33,169,
15,5,1,Cntrl_Cor_blank_e_6_2_24,6/2/24,Tf,Cntrl_Cor,Cor,Cntrl,blank,blank_e,blank,15,477,2:35,-94.2,27.035,36.4,20240602,12:00,14:25,173,
16,42,7,CaO_SW_2_b_6_2_24,6/2/24,Tf,CaO_SW,SW,CaO,coral,2_b,2,4,528,2:36,-116.6,26.697,36.4,20240602,12:08,14:35,163,
17,38,7,CaO_SW_1_d_6_2_24,6/2/24,Tf,CaO_SW,SW,CaO,coral,1_d,1,10,515,2:38,-115.6,26.954,36.4,20240602,12:04,14:37,169,
18,59,9,CaO_SW_blank_f_6_2_24,6/2/24,Tf,CaO_SW,SW,CaO,blank,blank_f,blank,16,479,2:39,-116.2,27.125,36.4,20240602,12:00,14:25,145,
